id	ER-NOD-ERR1084805	ER-NOD-ERR1084806	ER-ATH-ERR1084764	ER-ATH-ERR1084765	TN-NOD-ERR1084798	TN-NOD-ERR1084799	TN-ATH-ERR1084768	TN-ATH-ERR1084766
ENSG00000156508	12.0471	11.1459	12.1216	12.0039	12.4719	11.2197	12.1571	11.5584
ENSG00000205542	12.4469	10.8934	10.6062	11.3613	11.3002	13.3302	11.084	10.7949
ENSG00000105193	11.0584	11.3955	10.8931	10.6384	12.3713	11.9196	11.119	10.6652
ENSG00000167553	11.7512	11.3593	11.4747	11.5166	10.794	11.2947	10.288	10.597
ENSG00000070756	10.8978	11.736	11.3341	11.288	10.7005	10.671	11.7294	10.6516
ENSG00000198938	10.8581	10.6526	11.245	11.1987	9.22284	11.7412	10.2954	8.83761
ENSG00000143947	10.267	9.99719	9.9726	10.0453	11.4098	9.75804	10.7665	11.482
ENSG00000174444	10.6415	9.90232	10.2542	9.90199	11.1658	9.65232	9.87549	9.96663
ENSG00000235655	9.9144	10.4274	9.87619	10.18	9.82939	9.88684	9.38823	10.1465
ENSG00000163041	10.5574	10.2407	9.98192	10.3626	9.42897	9.50917	9.84135	8.55248
ENSG00000123416	10.2742	9.55431	10.2378	10.1756	9.6688	9.52279	8.91506	9.28247
ENSG00000239264	9.18108	8.4421	9.57871	9.42366	9.05466	9.91078	9.96854	9.90844
ENSG00000168385	9.34603	8.53939	9.79895	9.94174	9.04463	9.04079	8.93399	8.99511
ENSG00000002834	8.93916	9.99148	9.63534	9.62664	9.36042	9.00678	6.67937	8.47874
ENSG00000170144	8.88573	8.1364	9.30514	9.51849	8.73769	8.78671	8.56572	9.3943
ENSG00000135720	8.72652	7.27072	9.5239	9.70915	8.41457	8.82747	8.3377	9.38046
ENSG00000188612	8.38619	9.29474	9.18152	9.24117	8.63161	8.5684	7.56854	9.26947
ENSG00000263585	7.90317	9.45581	9.23725	9.46953	8.74281	8.28574	8.88813	7.1688
ENSG00000196531	8.01929	8.70478	8.52379	8.82153	8.42867	7.43808	8.17919	9.29699
